total number,1
operation,1
succinct index,5
deterministic algorithm,3
position,1
run,2
encoding,2
tree,2
comparison performed,2
comparison model,3
complexity,4
sufﬁcient,1
worst case,4
index,4
-string correction problem,5
binary relation,5
list,2
set,2
problem,2
constant time,2
algorithm,4
perform,1
alphabet,3
succinct representation,4
sorted array,2
sorting,4
space,4
size,4
ﬁrst,1
shuﬄed upsequence,3
sorting algorithm,4
strict run,4
case,1
unbounded search,4
structure,1
data structure,4
optimal,5
element,1
computed,1
yield,1
order,1
support,1
instance,3
computer science,3
lg lg,3
show,1
search,3
partition,3
number,1
wavelet tree,5
eﬀective alphabet,4
diﬃculty,5
data,4
deﬁne,1
insertion rank,4
rank,4
ﬁnd,4
adaptive algorithm,5
node,3
measure,4
publication date,1
deﬁnition,1
lg σ +,1
suﬃx array,3
sequence,3
compressed representation,4
running time,4
term,1
cid,1
proof,3
describe,1
compressed suﬃx array,4
deﬁned,1
discrete algorithm,4
linear time,4
compute,1
deferred data structure,5
length,1
string,3
binary search,3
analysis,4
acm transaction,1
comparison,3
application,1
acm,1
log,1
query,3
swap-insert correction distance,5
array,1
lg lg σ,3
bit,1
note,1
time,3
barbay,1
technique,1
internal node,3
lower bound,4
σ shuﬄed upsequence,4
computational geometry,4
answer,1
instance-optimality,5
