shape,5
image retrieval,4
application,2
average,2
data mining,3
query,4
descriptor,4
data,3
based,1
scale,2
defined,1
pattern recognition,3
global descriptor,5
fig,1
acm press,1
structure,2
applied,2
euclidean distance,4
distance,5
lower bound,4
perform,1
experiment,3
performance,4
cid,1
computer vision,2
improvement,2
vector,2
feature vector,3
process,1
multimedia,4
show,1
measure,2
obtained,1
case,1
university,1
metric space,5
space,2
computing,1
3d object retrieval,5
parameter,2
point,2
set,3
effectiveness,5
index,5
similarity search,5
distribution,2
note,1
histogram,3
similar,4
function,2
3d object,4
presented,1
dataset,3
computer science,5
international conference,1
query object,4
order,2
retrieval,4
time series,4
propose,1
database,2
method,2
algorithm,3
feature,3
object,3
system,3
present,1
busto,1
paper,1
nearest neighbor,5
index structure,5
approach,2
similarity,5
technique,2
image,3
data space,3
distance function,4
association rule mining,2
compute,2
ieee tran,1
computed,1
important,1
similarity query,5
multimed tool appl,1
ieee computer society,1
size,2
data structure,3
sketch-based image retrieval,4
proposed,1
work,1
time,3
value,2
search,4
cost,4
range query,5
representation,3
problem,3
number,1
metric,4
local descriptor,5
