internal node,1
chile,1
access,4
query,4
node,1
searching,4
representation,4
data structure,5
tree,3
deﬁnition,1
binary search,1
obtain,1
solution,1
start,1
point,1
symbol,1
log log,1
position,1
order,1
problem,1
represent,1
leafe,1
lower bound,2
search time,1
set,1
data,4
diﬀerent,1
approximate string matching,5
algorithm,5
value,1
case,1
computer science,5
log,1
string,4
main memory,2
wavelet tree,4
compressed representation,5
technique,1
compression,5
answer,1
compute,1
deﬁned,1
rank,2
constant time,1
worst case,1
ﬁnd,1
stored,1
range,1
size,1
cid,1
discrete algorithm,3
show,1
occurrence,1
represented,1
bit,2
diﬀerence,1
obtained,1
operation,1
extra space,2
store,1
proc,1
paper,1
query time,2
navarro,1
sequence,4
suﬃx tree,4
word,1
index,5
array,1
build,1
application,3
leaf,1
left,1
length,1
preﬁx,1
child,1
element,1
eﬃcient,3
work,1
compressed,4
require,1
method,1
number,1
compressed suﬃx tree,4
retrieval,4
note,1
search,4
structure,3
pattern,3
deﬁne,1
suﬃx,2
ﬁrst,1
suﬃx array,4
text,3
space,5
lg lg,1
root,1
cost,2
time,2
compressed suﬃx array,4
compressed data structures,5
text indexing,5
