show,1
rdf graph,5
source,1
proposed,1
hold,1
evaluation,1
paper,1
case,1
sparql graph pattern,5
variable,1
general,1
fact,1
target instance,2
schema,3
study,1
satisﬁe,1
formally,1
pérez,1
sparql query,5
query language,5
speciﬁed,1
conjunctive query,5
polynomial time,4
rdf,5
cid,1
p1 union p2,1
solution,1
order,1
class,1
data exchange,4
assume,1
instance,1
shown,1
identiﬁed,1
deﬁne,1
mapping speciﬁed,1
operator,2
present,1
property,1
notice,1
graph pattern,5
null value,2
source schema,3
deﬁned,1
-cq dependency,2
work,1
language,4
function,3
regular expression,4
evaluation problem,3
denoted,1
condition,1
target schema,3
sparql,5
answer,1
set,1
triple,1
prove,1
expression,1
p1 opt p2,1
ﬁrst,1
mapping m1,1
introduce,1
based,1
fragment,1
part,1
maximum recovery,3
mapping,4
union,1
complexity,5
query,5
schema mapping,5
speciﬁcally,1
algorithm,5
difﬁcult,1
semantic,5
graph pattern expression,3
universidad de chile,5
data,5
obtained,1
-designed graph pattern,2
notion,1
rdf triple,3
deﬁnition,1
nested regular expression,4
triple pattern,4
exist,1
pattern,3
obtain,1
denote,1
blank node,4
b4 ringo ringo@acd.,1
section,1
graph,5
problem,1
source instance,3
st-mapping speciﬁed,1
opt operator,1
form,1
inverting schema mapping,3
